Ways,Data_Size_kB,Words_Per_Block,Hit_Time,Sets,Index_Size,Tag_Size,Hit_Time,
14,2744,2719,99.0889,2719,99.0889,171,246,71,
15,3375,3346,99.1407,3346,99.1407,196,283,86,
16,4096,4064,99.2188,4064,99.2188,224,320,96,
17,4913,4876,99.2469,4876,99.2469,252,363,108,
18,5832,5791,99.297,5791,99.297,283,406,112,
19,6859,6813,99.3293,6813,99.3293,315,453,131,
20,8000,7950,99.375,7950,99.375,350,500,128,
21,9261,9183,99.1578,9174,99.0606,376,606,232,
22,10648,10516,98.7603,10490,98.5162,407,774,398,
23,12167,11961,98.3069,11938,98.1179,462,964,593,
24,13824,13607,98.4303,13573,98.1843,504,1044,642,
25,15625,15294,97.8816,15096,96.6144,396,1485,1246,
26,17576,17185,97.7754,17127,97.4454,591,1516,1136,
27,19683,19219,97.6426,19147,97.2768,637,1729,1374,
28,21952,21455,97.736,21191,96.5333,506,2042,1819,
29,24389,23776,97.4866,23676,97.0766,735,2167,1825,
30,27000,26333,97.5296,25980,96.2222,547,2587,2404,
31,29791,29023,97.422,28893,96.9857,840,2627,2275,
32,32768,32059,97.8363,31915,97.3969,896,2586,2188,
33,35937,35018,97.4427,34689,96.5273,786,3256,3001,
34,39304,38311,97.4735,38134,97.0232,1011,3319,2927,
35,42875,41788,97.4647,41193,96.077,670,3994,3808,
36,46656,45551,97.6316,45339,97.1772,1134,3718,3332,
37,50653,49372,97.471,49141,97.015,1197,4162,3799,
38,54872,53536,97.5652,53033,96.6486,1007,4619,4312,
39,59319,57859,97.5387,57315,96.6217,1056,4985,4664,
40,64000,62654,97.8969,62366,97.4469,1400,4580,4153,
41,68921,67262,97.5929,66954,97.146,1470,5307,4928,
42,74088,72374,97.6865,71375,96.3381,871,6191,5974,
43,79507,77649,97.6631,77120,96.9977,1439,6094,5762,
44,85184,83325,97.8177,82954,97.3821,1694,6025,5608,
45,91125,89044,97.7163,88651,97.285,1771,6580,6191,
46,97336,95190,97.7953,94776,97.3699,1851,6822,6411,
47,103823,101551,97.8117,99552,95.8863,370,8752,8669,
48,110592,108464,98.0758,108001,97.6572,2016,7023,6589,
49,117649,115118,97.8487,114630,97.4339,2100,7951,7525,
50,125000,122395,97.916,121884,97.5072,2187,8221,7770,
Ways,Data_Size_kB,Words_Per_Block,Hit_Time,Sets,Index_Size,Tag_Size,Hit_Time,
1,524288,8,3,16384,14,13,3,
Matrix_Size,Instruction Count,Hit_A,Hit_A_Percentage,Hit_B,Hit_B_Percentage,Hit_C,Total_CAS,Total_RAS,
2,8,7,87.5,7,87.5,3,6,3,
3,27,25,92.5926,25,92.5926,7,13,8,
4,64,62,96.875,62,96.875,14,20,5,
5,125,121,96.8,121,96.8,21,33,14,
6,216,211,97.6852,211,97.6852,31,46,15,
7,343,336,97.9592,336,97.9592,42,63,22,
8,512,504,98.4375,504,98.4375,56,80,20,
9,729,718,98.4911,718,98.4911,70,103,31,
10,1000,987,98.7,987,98.7,87,126,38,
11,1331,1315,98.7979,1315,98.7979,105,153,47,
12,1728,1710,98.9583,1710,98.9583,126,180,49,
13,2197,2175,98.9986,2175,98.9986,147,213,66,
14,2744,2719,99.0889,2719,99.0889,171,246,71,
15,3375,3346,99.1407,3346,99.1407,196,283,86,
16,4096,4064,99.2188,4064,99.2188,224,320,96,
17,4913,4876,99.2469,4876,99.2469,252,363,108,
18,5832,5791,99.297,5791,99.297,283,406,112,
19,6859,6813,99.3293,6813,99.3293,315,453,131,
20,8000,7950,99.375,7950,99.375,350,500,128,
21,9261,9205,99.3953,9205,99.3953,385,553,157,
22,10648,10587,99.4271,10587,99.4271,423,606,159,
23,12167,12100,99.4493,12100,99.4493,462,663,183,
24,13824,13752,99.4792,13752,99.4792,504,720,170,
25,15625,15546,99.4944,15546,99.4944,546,783,210,
26,17576,17491,99.5164,17491,99.5164,591,846,216,
27,19683,19591,99.5326,19591,99.5326,637,913,242,
28,21952,21854,99.5536,21854,99.5536,686,980,236,
29,24389,24283,99.5654,24283,99.5654,735,1053,276,
30,27000,26887,99.5815,26887,99.5815,787,1126,279,
31,29791,29670,99.5938,29670,99.5938,840,1203,310,
32,32768,32640,99.6094,32640,99.6094,896,1280,322,
33,35937,35800,99.6188,35800,99.6188,952,1363,347,
34,39304,39159,99.6311,39159,99.6311,1011,1446,350,
35,42875,42721,99.6408,42721,99.6408,1071,1533,386,
36,46656,46494,99.6528,46494,99.6528,1134,1620,376,
37,50653,50481,99.6604,50481,99.6604,1197,1713,428,
38,54872,54691,99.6701,54691,99.6701,1263,1806,429,
39,59319,59128,99.678,59128,99.678,1330,1903,470,
40,64000,63800,99.6875,63800,99.6875,1400,2000,444,
41,68921,68710,99.6939,68710,99.6939,1470,2103,513,
42,74088,73867,99.7017,73867,99.7017,1543,2206,518,
43,79507,79275,99.7082,79275,99.7082,1617,2313,561,
44,85184,84942,99.7159,84942,99.7159,1694,2420,548,
45,91125,90871,99.7213,90871,99.7213,1771,2533,611,
46,97336,97071,99.7277,97071,99.7277,1851,2646,613,
47,103823,103546,99.7332,103546,99.7332,1932,2763,661,
48,110592,110304,99.7396,110304,99.7396,2016,2880,676,
49,117649,117348,99.7442,117348,99.7442,2100,3003,714,
50,125000,124687,99.7496,124687,99.7496,2187,3126,716,
Ways,Data_Size_kB,Words_Per_Block,Hit_Time,Sets,Index_Size,Tag_Size,Hit_Time,
4,8192,2,1,256,8,21,1,
Matrix_Size,Instruction Count,Hit_A,Hit_A_Percentage,Hit_B,Hit_B_Percentage,Hit_C,Total_CAS,Total_RAS,
2,8,6,75,6,75,2,8,5,
3,27,22,81.4815,22,81.4815,4,19,15,
4,64,56,87.5,56,87.5,8,32,13,
5,125,112,89.6,112,89.6,12,51,30,
6,216,198,91.6667,198,91.6667,18,72,28,
7,343,318,92.7114,318,92.7114,24,99,50,
8,512,480,93.75,480,93.75,32,128,38,
9,729,688,94.3759,688,94.3759,40,163,73,
10,1000,950,95,950,95,50,200,69,
11,1331,1267,95.1916,1264,94.9662,60,252,119,
12,1728,1653,95.6597,1643,95.081,72,304,126,
13,2197,2107,95.9035,2092,95.2208,84,364,186,
14,2744,2643,96.3192,2613,95.2259,98,428,210,
15,3375,3252,96.3556,3225,95.5556,112,498,264,
16,4096,3956,96.582,3928,95.8984,128,564,293,
17,4913,4757,96.8248,4714,95.9495,144,644,349,
18,5832,5653,96.9307,5615,96.2791,162,720,370,
19,6859,6668,97.2153,6623,96.5593,180,788,409,
20,8000,7787,97.3375,7728,96.6,200,885,451,
21,9261,9025,97.4517,8947,96.6094,220,991,540,
22,10648,10397,97.6427,10315,96.8727,242,1068,544,
23,12167,11880,97.6412,11770,96.7371,264,1213,658,
24,13824,13500,97.6563,13320,96.3542,288,1404,812,
25,15625,15283,97.8112,15062,96.3968,312,1530,941,
26,17576,17209,97.9119,16907,96.1937,338,1712,1026,
27,19683,19276,97.9322,18961,96.3319,364,1858,1201,
28,21952,21505,97.9637,21105,96.1416,392,2078,1337,
29,24389,23908,98.0278,23491,96.318,420,2220,1500,
30,27000,26485,98.0926,25783,95.4926,450,2632,1805,
31,29791,29233,98.127,28518,95.7269,480,2792,2052,
32,32768,32167,98.1659,31401,95.8282,512,2992,2127,
33,35937,35263,98.1245,34323,95.5088,544,3377,2656,
34,39304,38614,98.2445,37483,95.3669,578,3667,2688,
35,42875,42118,98.2344,40783,95.1207,612,4074,3314,
36,46656,45846,98.2639,44241,94.8238,648,4521,3514,
37,50653,49793,98.3022,47963,94.6894,684,4919,4143,
38,54872,53958,98.3343,51278,93.4502,722,5952,4798,
39,59319,58343,98.3547,55710,93.9159,750,6106,5396,
40,64000,62943,98.3484,59518,92.9969,800,7139,6022,
41,68921,67761,98.3169,63337,91.898,840,8425,7729,
42,74088,72902,98.3992,67373,90.9365,882,9665,8425,
43,79507,78204,98.3612,71692,90.1707,924,10967,10301,
44,85184,83842,98.4246,76009,89.2292,968,12453,11323,
45,91125,89637,98.3671,80333,88.1569,1012,14305,13663,
46,97336,95785,98.4066,83236,85.5141,1058,17767,16399,
47,103823,102078,98.3193,85881,82.7187,1023,21896,21298,
48,110592,108590,98.1897,85491,77.3031,1152,29407,28779,
49,117649,115561,98.2252,91558,77.823,1192,30580,30003,
50,125000,122739,98.1912,94052,75.2416,1247,35709,34720,
Ways,Data_Size_kB,Words_Per_Block,Hit_Time,Sets,Index_Size,Tag_Size,Hit_Time,
4,32768,2,2,1024,10,19,2,
Matrix_Size,Instruction Count,Hit_A,Hit_A_Percentage,Hit_B,Hit_B_Percentage,Hit_C,Total_CAS,Total_RAS,
2,8,6,75,6,75,2,8,5,
3,27,22,81.4815,22,81.4815,4,19,15,
4,64,56,87.5,56,87.5,8,32,13,
5,125,112,89.6,112,89.6,12,51,30,
6,216,198,91.6667,198,91.6667,18,72,28,
7,343,318,92.7114,318,92.7114,24,99,50,
8,512,480,93.75,480,93.75,32,128,38,
9,729,688,94.3759,688,94.3759,40,163,73,
10,1000,950,95,950,95,50,200,69,
11,1331,1270,95.417,1270,95.417,60,243,107,
12,1728,1656,95.8333,1656,95.8333,72,288,98,
13,2197,2112,96.1311,2112,96.1311,84,339,144,
14,2744,2646,96.4286,2646,96.4286,98,392,144,
15,3375,3262,96.6519,3262,96.6519,112,451,186,
16,4096,3968,96.875,3968,96.875,128,512,204,
17,4913,4768,97.0486,4768,97.0486,144,579,234,
18,5832,5670,97.2222,5670,97.2222,162,648,248,
19,6859,6678,97.3611,6678,97.3611,180,723,287,
20,8000,7800,97.5,7800,97.5,200,800,296,
21,9261,9040,97.6136,9038,97.5921,220,885,347,
22,10648,10403,97.6991,10393,97.6052,242,984,386,
23,12167,11898,97.7891,11878,97.6247,264,1087,454,
24,13824,13533,97.895,13505,97.6924,288,1186,466,
25,15625,15308,97.9712,15263,97.6832,312,1304,565,
26,17576,17230,98.0314,17168,97.6787,338,1430,625,
27,19683,19301,98.0592,19240,97.7493,364,1554,713,
28,21952,21555,98.1915,21523,98.0457,392,1610,630,
29,24389,23961,98.2451,23855,97.8105,420,1803,840,
30,27000,26544,98.3111,26493,98.1222,450,1863,753,
31,29791,29300,98.3519,29185,97.9658,480,2058,957,
32,32768,32238,98.3826,32129,98.0499,512,2193,986,
33,35937,35370,98.4222,35236,98.0494,544,2357,1119,
34,39304,38708,98.4836,38553,98.0893,578,2503,1155,
35,42875,42228,98.491,42048,98.0711,612,2699,1315,
36,46656,45980,98.5511,45794,98.1524,648,2834,1323,
37,50653,49930,98.5726,49738,98.1936,684,3007,1466,
38,54872,54113,98.6168,53883,98.1976,722,3192,1537,
39,59319,58530,98.6699,58320,98.3159,760,3309,1575,
40,64000,63169,98.7016,62960,98.375,800,3471,1544,
41,68921,68038,98.7188,67734,98.2777,840,3751,1866,
42,74088,73156,98.742,72895,98.3898,882,3889,1813,
43,79507,78507,98.7422,78157,98.302,924,4199,2196,
44,85184,84150,98.7862,83773,98.3436,968,4381,2206,
45,91125,90038,98.8071,89636,98.366,1012,4601,2405,
46,97336,96202,98.835,95636,98.2535,1058,4950,2648,
47,103823,102618,98.8394,102073,98.3144,1101,5164,2834,
48,110592,109346,98.8733,108737,98.3227,1152,5405,2961,
49,117649,116331,98.8797,115646,98.2975,1200,5722,3275,
50,125000,123661,98.9288,122891,98.3128,1250,5948,3245,
Ways,Data_Size_kB,Words_Per_Block,Hit_Time,Sets,Index_Size,Tag_Size,Hit_Time,
4,524288,2,3,16384,14,15,3,
Matrix_Size,Instruction Count,Hit_A,Hit_A_Percentage,Hit_B,Hit_B_Percentage,Hit_C,Total_CAS,Total_RAS,
2,8,6,75,6,75,2,8,5,
3,27,22,81.4815,22,81.4815,4,19,15,
4,64,56,87.5,56,87.5,8,32,13,
5,125,112,89.6,112,89.6,12,51,30,
6,216,198,91.6667,198,91.6667,18,72,28,
7,343,318,92.7114,318,92.7114,24,99,50,
8,512,480,93.75,480,93.75,32,128,38,
9,729,688,94.3759,688,94.3759,40,163,73,
10,1000,950,95,950,95,50,200,69,
11,1331,1270,95.417,1270,95.417,60,243,107,
12,1728,1656,95.8333,1656,95.8333,72,288,98,
13,2197,2112,96.1311,2112,96.1311,84,339,144,
14,2744,2646,96.4286,2646,96.4286,98,392,144,
15,3375,3262,96.6519,3262,96.6519,112,451,186,
16,4096,3968,96.875,3968,96.875,128,512,204,
17,4913,4768,97.0486,4768,97.0486,144,579,234,
18,5832,5670,97.2222,5670,97.2222,162,648,248,
19,6859,6678,97.3611,6678,97.3611,180,723,287,
20,8000,7800,97.5,7800,97.5,200,800,296,
21,9261,9040,97.6136,9040,97.6136,220,883,344,
22,10648,10406,97.7273,10406,97.7273,242,968,358,
23,12167,11902,97.822,11902,97.822,264,1059,404,
24,13824,13536,97.9167,13536,97.9167,288,1152,404,
25,15625,15312,97.9968,15312,97.9968,312,1251,468,
26,17576,17238,98.0769,17238,98.0769,338,1352,488,
27,19683,19318,98.1456,19318,98.1456,364,1459,540,
28,21952,21560,98.2143,21560,98.2143,392,1568,554,
29,24389,23968,98.2738,23968,98.2738,420,1683,617,
30,27000,26550,98.3333,26550,98.3333,450,1800,638,
31,29791,29310,98.3854,29310,98.3854,480,1923,698,
32,32768,32256,98.4375,32256,98.4375,512,2048,730,
33,35937,35392,98.4835,35392,98.4835,544,2179,785,
34,39304,38726,98.5294,38726,98.5294,578,2312,810,
35,42875,42262,98.5703,42262,98.5703,612,2451,878,
36,46656,46008,98.6111,46008,98.6111,648,2592,894,
37,50653,49968,98.6477,49968,98.6477,684,2739,975,
38,54872,54150,98.6842,54150,98.6842,722,2888,1000,
39,59319,58558,98.7171,58558,98.7171,760,3043,1075,
40,64000,63200,98.75,63200,98.75,800,3200,1074,
41,68921,68080,98.7798,68080,98.7798,840,3363,1179,
42,74088,73206,98.8095,73206,98.8095,882,3528,1210,
43,79507,78582,98.8366,78582,98.8366,924,3699,1291,
44,85184,84216,98.8636,84216,98.8636,968,3872,1312,
45,91125,90112,98.8883,90112,98.8883,1012,4051,1408,
46,97336,96278,98.913,96278,98.913,1058,4232,1440,
47,103823,102718,98.9357,102718,98.9357,1104,4419,1529,
48,110592,109440,98.9583,109440,98.9583,1152,4608,1576,
49,117649,116448,98.9792,116448,98.9792,1200,4803,1656,
50,125000,123750,99,123750,99,1250,5000,1692,
Ways,Data_Size_kB,Words_Per_Block,Hit_Time,Sets,Index_Size,Tag_Size,Hit_Time,
4,8192,8,1,64,6,21,1,
Matrix_Size,Instruction Count,Hit_A,Hit_A_Percentage,Hit_B,Hit_B_Percentage,Hit_C,Total_CAS,Total_RAS,
2,8,7,87.5,7,87.5,3,6,3,
